MBON,fallprop_bootstrap,fallprop_deltag,fallnumber_bootstrap,fallnumber_deltag,speed_bootstrap,speed_deltag,time_bootstrap,time_deltag,height_bootstrap,height_deltag,displacement_bootstrap,displacement_deltag,bspeed_bootstrap,bspeed_deltag,pausepos_bootstrap,pausepos_deltag,displacementbetweenpause_bootstrap,displacementbetweenpause_deltag,maxvelocity_bootstrap,maxvelocity_deltag,straightindex_bootstrap,straightindex_deltag,ascent_bootstrap,ascent_deltag,descent_bootstrap,descent_deltag,meanpause_bootstrap,meanpause_deltag,meanbout_bootstrap,meanbout_deltag,pause_bootstrap,pause_deltag,bout_bootstrap,bout_deltag
MB018B,-0.23126873126873126,-0.175,-0.46803196803196806,-0.339,-0.0003393249943997339,-0.149,-0.2568615098691551,-0.056,-0.3796277995658551,-0.242,0.07824101888047157,-0.134,0.06569534709385845,-0.04,-0.5391763637948772,-0.433,0.5003722759326746,0.309,-1.5872852096973205,-1.405,1.1957229018274185,0.892,-0.33567157451016155,-0.59,0.5259290742175633,0.394,0.5538538359313192,0.55,0.42320546817679994,0.315,-0.6654307952694364,-0.43,-0.6490265477124582,-0.424
MB018B,-0.10739260739260739,-0.175,-0.2841158841158841,-0.339,-0.24536498183122313,-0.149,-0.21887026446428828,-0.056,-0.3278802243298738,-0.242,-0.05215314956361981,-0.134,0.05397898512877625,-0.04,-0.5331458863738027,-0.433,0.20976163998671069,0.309,-1.4307159162930343,-1.405,1.3065626799211607,0.892,-0.3091766904455197,-0.59,0.30996294370121524,0.394,0.4994185916566027,0.55,0.7059594989425664,0.315,-0.5213005004067657,-0.43,-0.484245334261637,-0.424
MB018B,-0.13696303696303697,-0.175,-0.3064935064935065,-0.339,-0.26477578072669583,-0.149,-0.02650562115041612,-0.056,-0.22730416763470757,-0.242,-0.19498903686011798,-0.134,-0.08849927004879184,-0.04,-0.20453768235205116,-0.433,0.23752797545771234,0.309,-1.6337861409816246,-1.405,0.9569969936747963,0.892,-0.5446495548098252,-0.59,0.24937565816754304,0.394,0.522314492726945,0.55,0.16620439673025014,0.315,-0.2275826811477299,-0.43,-0.19878410349102402,-0.424
MB018B,-0.3462537462537463,-0.175,-0.49000999000999,-0.339,-0.2089958235865224,-0.149,-0.24408907835530827,-0.056,-0.5560857607370809,-0.242,-0.07485691839329689,-0.134,-0.05321009710964058,-0.04,-0.9040906959095346,-0.433,0.42132780571303974,0.309,-1.1895788527096294,-1.405,0.9105814155016079,0.892,-0.6554647890667464,-0.59,0.5548534091833057,0.394,0.5492203121515867,0.55,0.21044492427972683,0.315,-0.45816413694021235,-0.43,-0.3911778726589473,-0.424
MB018B,-0.23336663336663335,-0.175,-0.4375624375624375,-0.339,-0.11688761115522084,-0.149,-0.13455395772125256,-0.056,-0.27393060457741125,-0.242,-0.160071134633866,-0.134,-0.12460753920067687,-0.04,-0.47193862352539456,-0.433,0.5440047225330819,0.309,-1.4421191355880871,-1.405,1.064296764901721,0.892,-0.38368663574940653,-0.59,0.2256633818186803,0.394,0.8472900899964638,0.55,0.4755451810861484,0.315,-0.7331058446848042,-0.43,-0.7019900593450707,-0.424
MB018B,-0.13316683316683317,-0.175,-0.27522477522477523,-0.339,-0.20529174241627515,-0.149,-0.09713655879692636,-0.056,-0.21602142133978666,-0.242,-0.23640403883235386,-0.134,0.08976836908212804,-0.04,-0.4205708478727346,-0.433,0.29858182339550965,0.309,-1.223886931219228,-1.405,1.020608373313109,0.892,-0.6197544997531896,-0.59,0.2444472582278689,0.394,0.7309483700672782,0.55,0.18317033855114412,0.315,-0.18670749162060254,-0.43,-0.17011964088946027,-0.424
MB018B,-0.23636363636363636,-0.175,-0.49260739260739256,-0.339,-0.13342156293246782,-0.149,-0.12570281049110196,-0.056,-0.23786792942687854,-0.242,-0.20449608704041117,-0.134,0.05675006208849701,-0.04,-0.4465415660321093,-0.433,0.35942917897595794,0.309,-1.6434900014982128,-1.405,1.2287018968744432,0.892,-0.6400899952954398,-0.59,0.3480060211971918,0.394,0.4736331577612425,0.55,0.5442393595132617,0.315,-0.428662678272914,-0.43,-0.3994090440298543,-0.424
MB018B,-0.08411588411588411,-0.175,-0.21898101898101896,-0.339,-0.28734069243915394,-0.149,0.10197078066329739,-0.056,-0.08083138237221617,-0.242,-0.2802064871762902,-0.134,-0.03746683630160171,-0.04,-0.4881876505646148,-0.433,0.20673644614970138,0.309,-1.2721039785994168,-1.405,0.7308233493465519,0.892,-0.8207569202505056,-0.59,0.30651091617287046,0.394,0.8383898308440811,0.55,0.33338949329609713,0.315,-0.4668903009965651,-0.43,-0.4770134744309674,-0.424
MB018B,-0.1949050949050949,-0.175,-0.44645354645354646,-0.339,-0.19638466076504937,-0.149,-0.021262751032752835,-0.056,-0.30140840633391,-0.242,-0.27453130090888245,-0.134,-0.13884757432654868,-0.04,-0.44040869705552854,-0.433,0.33268899000266056,0.309,-1.2043550622235246,-1.405,0.8094427495507066,0.892,-0.8068194587318271,-0.59,0.34179733524381434,0.394,0.6369614513188823,0.55,0.10690548641254577,0.315,-0.4461420223734108,-0.43,-0.4864280410468935,-0.424
MB018B,-0.0020979020979021087,-0.175,-0.07692307692307693,-0.339,-0.2169592563780917,-0.149,0.12561151673282347,-0.056,-0.01752893811115352,-0.242,-0.289820618103475,-0.134,0.03395810096455406,-0.04,-0.3614870700967685,-0.433,0.2868470846605385,0.309,-1.2510493327737018,-1.405,0.69115817312887,0.892,-0.6076784656208244,-0.59,0.17488400340055038,0.394,0.8511057837678001,0.55,0.2593441193305849,0.315,-0.561824482092615,-0.43,-0.5578525185017972,-0.424
MB018B,-0.2621378621378621,-0.175,-0.4096903096903097,-0.339,-0.1285368970411586,-0.149,-0.00015215626378473808,-0.056,-0.2797044884039188,-0.242,-0.1734465028248207,-0.134,-0.03370137155054056,-0.04,-0.24644660971524612,-0.433,0.3463256213071094,0.309,-1.120544937212693,-1.405,0.6119448316082957,0.892,-0.5437936404011041,-0.59,0.301764800822604,0.394,0.7411862499267763,0.55,0.1909938908448206,0.315,-0.4336606360141685,-0.43,-0.4283101856804211,-0.424
MB018B,-0.15644355644355645,-0.175,-0.42577422577422575,-0.339,-0.2237551852518701,-0.149,0.12009041801853532,-0.056,0.05195989552501504,-0.242,-0.1976195643854859,-0.134,-0.17172836943107214,-0.04,-0.004779775613533231,-0.433,-0.010511288776948426,0.309,-1.5686251395733453,-1.405,1.1618861790470134,0.892,-0.37968543180203995,-0.59,0.1702081098669793,0.394,0.45683732719589804,0.55,0.48851092751841985,0.315,-0.22077465222450743,-0.43,-0.2650542372120696,-0.424
MB018B,-0.2168831168831169,-0.175,-0.32427572427572426,-0.339,-0.19122079815144222,-0.149,-0.005477625496067368,-0.056,-0.25288032935642185,-0.242,-0.07818998306817286,-0.134,-0.2851513554509848,-0.04,-0.32555381310113324,-0.433,-0.19627445608689423,0.309,-1.0892076359649308,-1.405,0.6747678029321074,0.892,-0.7143132966889123,-0.59,0.5428555541228469,0.394,0.5623288591004642,0.55,0.15333523692951462,0.315,-0.24619669673542977,-0.43,-0.21322152548025167,-0.424
MB018B,-0.3098901098901099,-0.175,-0.47222777222777224,-0.339,-0.16853297297507058,-0.149,-0.061397226095999236,-0.056,-0.2614078261770611,-0.242,-0.08157585562332484,-0.134,-0.24165183457354789,-0.04,-0.15009688059187637,-0.433,0.38046645575658433,0.309,-1.3202774128862154,-1.405,0.5699578787173349,0.892,-0.4309424833451306,-0.59,0.36706057648166374,0.394,0.4834609228007359,0.55,0.356204556619454,0.315,-0.2678635189434643,-0.43,-0.2816217706423305,-0.424
